BATCHID,FIRST_NAME,LAST_NAME,EMAIL,COMPANY,LEAD_STATUS,LEADID,CONTACTID,DATECREATED,MODIFIEDDATE
0731c7544cc447b188ef537cb3a081c3,Kathryn,Garza,kgarza0@desdev.cn,Oyonder,New,-1636910056796909519,-4776533118647830284,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Jesse,Lewis,jlewis1@arstechnica.com,Divanoodle,New,9113587432014751164,2333224529984337213,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Linda,Moreno,lmoreno2@clickbank.net,Skiba,New,3771473395058115119,-7238595436507397845,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Charles,Carroll,ccarroll3@gnu.org,Dabfeed,New,-803208521486949671,1905715300383335854,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Betty,Moore,bmoore4@jimdo.com,Zooveo,New,-1262543068588035553,1254219793069579342,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Alan,Bryant,abryant5@addtoany.com,Edgewire,New,-1864386997075305092,4377766191978347232,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Julia,Nguyen,jnguyen6@simplemachines.org,Vimbo,New,4495923768996238353,-3799103695820485698,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Peter,Romero,promero7@intel.com,Skidoo,New,-4329270469743512365,-1919946105660341393,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Carolyn,Snyder,csnyder8@posterous.com,Tagfeed,New,-6304683141522156570,2028509942818710564,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Jimmy,Andrews,jandrews9@ning.com,Layo,New,6880776309307415872,-7258588955921268676,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Bruce,Cooper,bcoopera@furl.net,Brainsphere,New,-5496256923954294587,2033736026270957375,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Wanda,Andrews,wandrewsb@princeton.edu,Skipstorm,New,-6681536682505088023,6878585384651861900,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Clarence,West,cwestc@nature.com,Feedfire,New,5098519394930984873,4446353743066338068,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Diana,Castillo,dcastillod@youku.com,Cogilith,New,-3140883551106738635,-7852964157001610868,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Randy,Romero,rromeroe@weebly.com,Vidoo,New,5997303149905011258,1432527022710060776,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Catherine,Castillo,ccastillof@google.co.uk,Fivebridge,New,2838668491665182951,5698084225834959386,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Frances,Myers,fmyersg@desdev.cn,Twitterbridge,New,4473925585933518807,1936169685634674771,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Kimberly,Day,kdayh@usatoday.com,Realmix,New,2637115240529337069,-3789133982402757095,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Nancy,Campbell,ncampbelli@businessinsider.com,Cogilith,New,-7768761516965252604,-8309429824243460794,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Kathy,Bell,kbellj@uiuc.edu,Meembee,New,-2993586299088326590,6974517515689498055,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Tammy,Sullivan,tsullivank@ox.ac.uk,Quimba,New,-2100205721212874412,-18831620198730524,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Stephanie,Hall,shalll@ustream.tv,Kamba,New,706382019180273522,210279154755826162,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Jessica,Barnes,jbarnesm@timesonline.co.uk,Babbleset,New,180640205277888964,-7240361495209636115,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Shawn,Greene,sgreenen@linkedin.com,Realfire,New,-4024580186326838658,-5763189662963639894,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Richard,Harper,rharpero@eventbrite.com,Gevee,New,8780522261612454215,-3615333408061526297,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Julie,Peters,jpetersp@hao123.com,Demizz,New,5912085482487813571,-5925756064513376487,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Maria,Reed,mreedq@blogs.com,Bubbletube,New,797836413687823044,4154047707235024667,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Todd,Castillo,tcastillor@admin.ch,Twitterlist,New,-1589269962733835104,8707285854294807365,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Angela,Wood,awoods@yellowbook.com,Snaptags,New,-4166222273397101493,4563469090133869403,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Donna,Evans,devanst@webmd.com,Youopia,New,271313090561693123,8820775870833025461,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Jerry,Fowler,jfowleru@ycombinator.com,Jaxworks,New,-9084653499374979329,-8577462798396932844,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Paul,Diaz,pdiazv@eventbrite.com,Realmix,New,2457155986175037236,5951605607448084326,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Ruby,Bennett,rbennettw@ted.com,Janyx,New,6476941601994300727,-597368987593809549,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Bonnie,Reyes,breyesx@csmonitor.com,Talane,New,-4722415748623195854,-7777913203288092182,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Susan,Henry,shenryy@dot.gov,Feednation,New,-3981070401477093372,8372777465913464945,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Benjamin,Harvey,bharveyz@slashdot.org,Voomm,New,6082009567221859030,4327518963400302708,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Christopher,Duncan,cduncan10@cmu.edu,Twitterbridge,New,-5836631273236940601,440500454810753397,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
0731c7544cc447b188ef537cb3a081c3,Peter,Rogers,progers11@bigcartel.com,Blogtags,New,4387767578274796631,-6783034629231813802,2022-11-07T11:10:10.243Z,2022-11-17T11:10:11.802Z
